DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHA>0,下日DSHA>1,下日DSHA>3,均HR,中位HR
嘘,上,下,1225,29.1,27.2,17.6,59.8,28.8,8.2,1.58,1.14
嘘,上,忐,3702,83.4,74.7,74.1,96.8,88.9,47.2,1.71,1.02
嘘,上,忠,500,49.2,46.4,45.0,94.0,68.2,17.6,1.34,0.85
嘘,上,忑,628,34.2,32.2,27.1,80.4,45.9,13.2,1.65,1.05
嘘,中,上,99,75.8,42.4,42.4,67.7,53.5,18.2,1.14,0.93
嘘,中,中,36,58.3,27.8,27.8,52.8,27.8,13.9,1.25,0.69
嘘,中,下,383,32.9,16.2,11.0,35.5,15.1,4.4,1.19,0.68
嘘,中,忐,819,83.5,49.3,49.3,95.5,86.7,44.6,1.81,1.12
嘘,中,忠,650,55.5,35.7,35.7,92.5,70.8,24.3,1.53,0.9
嘘,中,忑,1339,36.2,21.8,19.8,60.8,32.4,8.4,1.39,0.89
嘘,下,上,116,77.6,31.0,31.0,94.0,71.6,25.0,1.63,1.05
嘘,下,中,32,50.0,9.4,9.4,81.2,15.6,3.1,1.22,0.97
嘘,下,下,909,23.1,11.4,7.9,33.0,15.5,4.3,1.75,1.15
嘘,下,忐,2569,79.3,27.3,27.3,98.8,90.6,48.3,1.94,1.14
嘘,下,忠,12286,41.0,7.6,7.6,97.6,82.2,33.6,1.89,1.13
嘘,下,忑,84198,6.2,1.5,1.5,43.9,23.8,6.5,1.97,1.35
嘘,忐,上,140418,77.5,77.1,74.2,99.0,90.2,51.1,1.97,1.23
嘘,忐,中,10521,31.2,31.1,21.6,78.4,42.9,10.7,1.85,1.29
嘘,忐,下,2138,17.4,17.3,12.7,62.1,31.3,8.1,1.81,1.31
嘘,忐,忐,3840,77.0,73.9,73.8,98.9,94.7,59.1,2.0,1.25
嘘,忐,忠,138,32.6,32.6,32.6,95.7,65.2,25.4,1.81,0.82
嘘,忐,忑,257,23.7,23.3,22.6,90.7,58.8,16.7,1.76,1.33
嘘,忠,上,106168,35.4,34.1,33.9,98.6,85.5,40.8,1.87,1.21
嘘,忠,中,16759,13.5,13.2,11.1,78.3,40.7,10.3,1.82,1.22
嘘,忠,下,6777,8.6,8.5,7.0,60.2,30.5,8.4,1.81,1.2
