DXEF,DXCD,DXAB,样本,DSHR>0_全量,DSHR>0_Qd,DSHR>0_Qe,DSHR>0_Qif,DSHR>0_Qic,DSHR>0_Qimit,DSHR>0_Qin,DSHR>1_全量,DSHR>1_Qd,DSHR>1_Qe,DSHR>1_Qif,DSHR>1_Qic,DSHR>1_Qimit,DSHR>1_Qin,DSHR>2_全量,DSHR>2_Qd,DSHR>2_Qe,DSHR>2_Qif,DSHR>2_Qic,DSHR>2_Qimit,DSHR>2_Qin
金,忠,上,29874,86.5,88.5,80.2,82.3,85.4,87.3,87.9,54.6,32.7,28.9,53.3,59.0,61.0,61.8,32.3,11.2,10.9,33.6,36.7,37.8,37.9
金,忠,中,8960,87.1,87.5,82.6,83.3,84.5,88.3,87.6,55.7,34.5,30.0,53.8,59.2,59.8,62.5,32.0,13.0,8.5,30.8,35.5,36.2,36.5
金,忠,下,5662,86.9,87.1,80.5,83.5,87.0,87.2,89.2,56.0,30.2,28.4,51.4,61.1,61.7,62.9,31.7,10.5,7.9,31.2,36.7,35.5,37.9
金,忠,忐,4655,86.3,89.4,76.6,86.6,86.0,87.2,86.7,56.3,38.1,27.4,54.9,60.9,62.3,63.7,34.3,14.0,8.1,32.5,38.3,40.7,41.0
金,忠,忠,229,84.3,77.3,62.1,100.0,100.0,85.1,89.4,53.3,22.7,10.3,83.3,77.8,62.4,57.4,31.4,9.1,6.9,50.0,50.0,40.6,25.5
金,忠,忑,500,85.2,76.7,71.4,81.8,85.2,88.2,88.9,55.2,32.6,33.3,51.5,61.1,59.2,62.4,32.4,14.0,11.9,21.2,35.2,39.3,35.9
金,忑,上,19116,86.0,85.5,82.3,81.8,86.5,86.7,88.0,54.2,35.3,35.2,52.8,61.4,60.2,60.3,31.5,13.7,13.2,32.6,38.1,37.4,36.2
金,忑,中,6978,85.5,87.7,81.1,84.4,84.0,85.9,86.2,54.1,34.3,30.6,57.0,59.4,58.7,59.1,30.9,11.9,10.3,31.4,36.9,35.0,36.2
金,忑,下,29877,86.7,85.5,81.6,84.4,87.4,87.5,88.1,55.8,36.9,30.3,56.3,59.8,61.1,62.7,31.4,16.1,10.1,31.4,35.0,35.9,36.2
金,忑,忐,31143,85.5,87.8,76.8,82.6,85.5,86.2,86.9,55.3,38.5,32.5,57.1,59.0,59.7,61.3,33.2,15.8,12.5,33.0,37.9,38.0,38.3
金,忑,忠,34339,84.5,84.8,77.8,81.8,85.1,85.4,85.7,53.5,37.5,31.4,54.9,57.9,58.0,57.7,31.2,14.8,12.1,33.4,36.3,35.2,35.3
金,忑,忑,197633,86.6,86.3,81.8,83.9,85.8,87.5,87.7,56.6,40.8,37.5,55.5,58.9,60.3,60.8,32.1,16.9,15.4,32.1,34.4,35.5,35.9
银,上,上,801170,84.7,86.0,78.8,83.4,85.1,84.9,85.7,58.6,33.9,39.1,59.1,63.0,63.4,64.0,38.4,13.0,19.2,38.0,42.2,43.6,43.7
银,上,中,198140,87.3,87.9,81.0,85.7,88.0,87.7,87.9,60.6,39.5,42.4,58.0,63.9,64.8,64.9,36.8,16.8,20.2,34.3,39.3,41.0,40.9
银,上,下,127383,88.1,88.4,83.2,87.0,88.0,88.6,88.6,61.0,35.3,40.1,58.8,63.0,66.1,66.0,35.5,12.8,18.2,33.0,36.7,39.9,40.4
银,上,忐,31448,85.4,85.2,74.5,83.1,84.6,86.5,86.7,56.5,31.5,29.5,53.7,59.5,61.8,62.5,34.9,11.7,12.1,31.3,37.1,39.9,40.3
银,上,忠,12052,84.0,87.1,75.5,79.2,83.0,85.1,85.1,54.7,36.4,30.4,54.9,56.5,59.7,59.7,31.9,9.2,10.5,31.2,35.8,36.6,37.7
银,上,忑,52636,87.1,86.3,81.9,84.3,86.8,88.0,87.9,57.5,34.4,38.7,54.6,60.9,61.9,62.9,33.5,12.5,14.7,30.7,35.8,37.8,38.7
银,中,上,620,82.1,85.2,64.2,80.4,81.0,82.8,88.4,46.0,22.2,17.9,34.8,57.1,51.2,58.1,25.3,5.6,3.0,26.1,38.1,29.7,31.0
银,中,中,360,81.4,76.4,60.0,80.0,92.9,83.0,87.2,48.6,34.5,28.6,53.3,53.6,52.5,57.0,24.7,10.9,11.4,13.3,25.0,31.2,30.2
银,中,下,15033,86.7,85.1,71.3,85.2,88.8,88.4,87.7,59.2,26.5,21.3,55.0,63.6,65.7,65.8,33.5,6.8,6.1,27.6,33.9,39.3,38.5
银,中,忐,3767,85.2,85.9,78.5,81.9,83.7,85.4,87.1,52.9,31.5,24.4,49.5,52.3,57.9,59.3,30.9,10.7,4.7,27.1,30.6,36.3,35.4
银,中,忠,13448,83.5,86.4,76.8,78.6,81.3,84.1,84.9,52.0,29.9,30.3,49.1,49.6,56.9,58.2,29.7,7.8,11.1,27.5,27.1,34.6,34.8
银,中,忑,133564,87.5,84.9,81.8,85.1,87.6,88.4,88.4,57.9,32.8,36.1,54.0,60.0,62.8,62.9,32.3,10.3,13.7,28.7,32.8,36.7,36.9
银,下,上,192,86.5,100.0,77.3,100.0,75.0,88.4,83.9,52.6,14.3,45.5,66.7,62.5,60.5,50.0,29.2,7.1,22.7,50.0,37.5,32.6,28.6
银,下,下,2778,83.1,83.9,61.9,83.2,85.9,86.3,87.9,53.9,32.3,16.1,49.6,60.7,62.8,64.8,30.6,13.0,6.3,19.5,38.8,35.9,39.9
银,下,忐,973,85.2,83.3,84.8,81.8,93.2,82.7,88.5,53.2,24.2,32.6,49.1,67.6,54.1,59.3,31.8,4.5,13.0,30.9,39.2,34.8,34.4
银,下,忠,5478,83.3,83.9,74.8,78.7,82.3,84.0,84.7,49.2,25.3,29.4,42.3,49.9,54.6,55.1,27.8,4.1,5.9,26.1,28.8,33.1,32.9
银,下,忑,98639,87.8,85.9,78.6,85.0,87.3,89.1,88.6,58.5,34.9,34.5,53.4,58.9,63.5,63.9,32.6,12.8,12.8,27.2,32.4,36.6,37.8
银,忐,上,31181,82.3,81.2,70.6,82.4,84.2,83.9,84.5,57.1,37.9,39.6,57.5,63.5,62.5,62.2,38.8,21.7,26.5,37.9,43.9,43.5,42.3
银,忐,中,3526,84.7,85.2,65.5,84.2,86.1,87.9,85.5,54.1,26.9,24.7,50.0,59.1,62.1,61.2,30.5,8.1,14.9,25.9,31.0,36.7,35.2
银,忐,下,808,87.3,82.3,66.3,95.5,91.3,92.6,85.2,55.0,17.7,19.1,43.2,62.3,69.9,59.3,30.0,1.3,5.6,20.5,33.3,40.0,35.8
银,忐,忐,312,79.8,90.7,42.9,78.6,85.0,86.4,77.9,54.2,14.0,11.4,50.0,70.0,69.7,67.6,36.2,2.3,11.4,21.4,40.0,47.7,50.0
银,忠,上,536,83.4,78.9,67.6,80.0,86.5,88.3,87.0,47.8,22.8,17.6,45.0,48.6,62.4,53.7,27.8,10.5,4.1,30.0,18.9,38.5,34.1
银,忠,中,351,77.2,84.3,42.9,76.9,80.0,85.7,86.2,44.7,27.5,7.9,46.2,52.0,58.0,62.5,24.5,5.9,4.8,30.8,24.0,33.6,37.5
银,忠,下,375,82.4,80.5,60.2,72.7,87.5,92.2,91.5,48.5,26.8,15.9,45.5,75.0,62.8,64.6,28.5,12.2,3.4,27.3,58.3,38.8,39.0
银,忑,上,348,89.9,89.0,81.8,90.0,91.7,93.3,89.3,52.9,37.0,42.4,43.3,62.5,68.3,52.4,29.0,8.2,27.3,30.0,37.5,37.5,34.5
银,忑,中,195,83.6,80.8,66.7,88.9,84.2,88.9,84.8,57.4,53.8,37.0,33.3,57.9,65.4,63.6,25.6,11.5,14.8,11.1,21.1,32.1,36.4
银,忑,下,1664,83.1,88.2,62.2,87.3,87.6,88.5,83.8,48.3,27.3,13.8,50.7,59.5,61.8,62.6,24.9,8.6,6.9,18.3,33.1,32.5,36.8
银,忑,忐,429,85.5,85.4,70.8,86.7,90.5,85.6,86.7,52.4,20.7,29.2,50.0,66.7,61.6,64.8,26.1,3.7,8.3,20.0,42.9,36.3,28.6
银,忑,忠,416,85.8,88.4,57.7,86.2,86.2,87.8,87.9,45.7,18.8,3.8,72.4,69.0,51.2,51.5,27.9,5.8,0.0,51.7,37.9,32.3,33.3
银,忑,忑,5110,87.5,90.6,71.5,83.7,88.7,88.7,90.3,52.8,32.6,21.1,50.6,55.3,60.4,62.9,28.3,6.5,8.4,26.1,29.9,33.6,38.8
嘘,上,上,13720,84.4,86.1,66.8,87.9,86.3,85.9,86.9,54.5,26.7,23.7,58.5,60.8,61.5,62.1,34.0,10.7,9.5,35.3,38.3,40.0,40.6
嘘,上,中,1133,82.9,79.3,61.5,84.5,86.7,86.7,84.6,50.1,25.6,17.2,51.2,57.5,56.4,58.8,28.3,4.9,4.9,34.5,35.4,31.9,35.7
嘘,上,下,1225,83.2,78.3,60.0,86.7,84.7,87.3,82.6,54.5,23.9,26.3,57.5,55.9,60.6,61.0,28.9,6.5,3.2,36.3,32.2,33.9,31.1
嘘,上,忐,3702,81.6,76.4,58.5,79.8,87.3,86.1,86.1,50.7,28.7,18.9,49.2,60.3,60.9,58.7,30.1,9.8,4.9,32.8,37.1,38.4,36.9
嘘,上,忠,500,82.2,75.7,75.0,86.7,77.5,88.3,87.3,43.0,23.6,19.6,63.3,55.0,53.4,60.6,23.4,7.1,1.8,40.0,35.0,32.5,38.0
嘘,上,忑,628,82.6,75.8,54.3,91.7,89.7,82.5,87.2,51.4,30.3,11.4,60.4,55.9,56.3,56.8,29.5,9.1,0.0,41.7,35.3,32.2,34.4
嘘,中,下,383,71.5,86.4,41.4,86.2,73.5,79.7,78.3,40.2,43.2,4.6,55.2,41.2,52.4,56.5,20.4,9.1,0.0,27.6,17.6,32.2,30.4
嘘,中,忐,819,82.9,78.2,42.0,75.9,78.6,90.6,88.5,53.4,28.2,10.1,48.1,47.1,65.1,60.3,32.1,14.1,4.3,25.9,21.4,42.3,34.6
嘘,中,忠,650,79.7,87.1,50.7,75.6,84.4,81.9,85.2,47.4,32.3,15.5,48.9,53.1,58.2,51.6,26.6,6.5,8.5,28.9,34.4,33.3,33.6
嘘,中,忑,1339,77.4,90.3,56.9,71.1,50.7,83.8,86.8,46.4,47.9,16.8,47.4,33.6,54.8,60.8,23.5,13.4,6.1,27.6,17.9,34.4,28.3
嘘,下,上,116,82.8,75.0,53.3,100.0,77.8,91.8,77.3,53.4,25.0,20.0,80.0,77.8,63.9,36.4,32.8,0.0,0.0,0.0,66.7,42.6,27.3
嘘,下,下,909,81.0,88.7,60.7,82.9,85.4,84.5,84.7,53.4,25.8,15.9,60.0,63.4,62.7,66.7,31.9,9.7,5.5,35.7,28.0,40.6,43.2
嘘,下,忐,2569,83.8,76.6,69.8,79.0,87.7,85.5,86.8,53.8,25.7,22.3,58.0,54.5,59.6,61.8,33.9,6.1,5.4,34.5,34.0,39.6,42.1
嘘,下,忠,12286,84.3,82.6,76.7,79.4,85.3,86.0,85.1,53.7,32.3,28.4,46.5,56.8,59.5,59.7,32.9,11.2,12.7,26.6,35.7,37.6,39.4
嘘,下,忑,84198,84.2,80.2,78.2,83.3,84.8,85.5,84.7,59.2,43.4,40.3,56.4,62.8,62.5,63.7,36.5,19.4,19.5,32.7,39.5,39.8,41.6
嘘,忐,上,140418,85.9,86.6,77.8,85.3,86.3,86.3,86.8,56.3,32.7,32.7,57.2,60.7,60.6,61.6,34.4,10.2,11.7,34.0,37.8,39.1,39.8
嘘,忐,中,10521,87.9,89.1,78.3,86.7,87.3,88.5,89.0,58.5,39.5,32.3,60.1,62.7,62.2,62.4,34.0,12.7,10.8,35.9,37.7,38.0,37.6
嘘,忐,下,2138,88.2,86.9,78.7,91.3,88.1,88.1,89.5,58.8,31.4,31.5,62.8,56.6,63.5,62.3,32.9,13.1,14.6,33.1,31.0,36.4,36.0
嘘,忐,忐,3840,85.2,88.3,64.3,86.5,83.4,86.7,86.7,57.6,41.5,20.4,56.0,59.3,63.6,62.0,34.2,10.7,6.3,32.7,35.0,40.0,40.5
嘘,忐,忠,138,78.3,70.6,83.3,88.9,72.2,78.5,82.6,42.8,5.9,50.0,33.3,61.1,44.6,52.2,30.4,0.0,33.3,11.1,38.9,35.4,39.1
嘘,忐,忑,257,85.2,70.0,55.6,85.2,88.2,88.3,89.6,58.4,20.0,22.2,63.0,67.6,61.7,62.5,35.4,10.0,11.1,40.7,44.1,40.0,29.2
嘘,忠,上,106168,86.8,87.2,82.3,84.8,86.8,87.0,88.0,56.1,34.0,35.0,56.0,60.6,60.4,60.7,32.9,10.0,11.2,33.1,37.8,37.4,37.3
嘘,忠,中,16759,87.8,90.2,82.4,85.4,86.7,88.7,87.6,56.6,42.0,26.9,56.3,59.6,61.0,60.7,33.2,19.5,8.0,33.2,37.0,37.2,36.3
嘘,忠,下,6777,86.9,90.6,80.0,86.1,84.2,87.7,86.9,56.2,39.6,27.1,49.6,59.6,62.1,59.9,32.8,25.1,8.6,25.1,35.5,36.8,35.7
嘘,忠,忐,10625,85.4,85.7,75.6,82.4,87.7,86.5,86.6,55.4,31.0,33.4,52.4,61.9,60.2,63.0,33.2,9.9,12.3,32.2,37.9,37.9,40.1
嘘,忠,忠,422,82.9,63.6,76.8,83.3,76.9,87.5,91.8,51.7,31.8,26.8,53.3,48.7,59.9,63.9,30.1,13.6,5.4,33.3,30.8,37.0,41.0
嘘,忠,忑,940,85.9,73.6,89.2,83.1,85.7,86.8,90.0,53.8,20.7,56.8,59.2,51.0,58.9,55.3,31.3,3.4,29.7,45.1,29.6,35.4,29.4
嘘,忑,上,45657,85.9,84.7,80.8,82.4,85.9,86.7,87.5,55.0,35.9,29.4,54.4,59.9,59.3,59.4,32.3,14.5,10.6,31.8,35.9,36.6,35.8
嘘,忑,中,10794,86.3,85.1,83.8,84.3,86.3,87.3,85.7,54.4,29.5,33.8,55.1,58.4,59.0,57.1,30.2,8.5,11.1,31.2,32.9,34.4,32.5
嘘,忑,下,34421,86.0,86.8,81.3,83.1,86.5,86.4,87.0,55.2,32.9,30.5,54.4,58.7,60.1,60.0,30.6,11.3,8.7,29.8,34.2,34.9,34.3
