DXEF,DXCD,DXAB,样本,DSHR>0_全量,DSHR>0_Qd,DSHR>0_Qe,DSHR>0_Qif,DSHR>0_Qic,DSHR>0_Qimit,DSHR>0_Qin,DSHR>1_全量,DSHR>1_Qd,DSHR>1_Qe,DSHR>1_Qif,DSHR>1_Qic,DSHR>1_Qimit,DSHR>1_Qin,DSHR>2_全量,DSHR>2_Qd,DSHR>2_Qe,DSHR>2_Qif,DSHR>2_Qic,DSHR>2_Qimit,DSHR>2_Qin
唏,忑,上,982,81.6,80.6,72.1,85.7,67.9,84.6,86.7,44.7,24.7,14.3,54.0,45.2,54.7,52.3,24.5,6.5,4.3,39.7,20.2,32.8,28.0
唏,忑,中,505,82.0,83.3,52.5,77.8,88.1,86.0,87.5,47.5,28.6,15.3,63.0,69.0,51.7,51.6,25.9,7.1,6.8,22.2,31.0,30.4,32.8
唏,忑,下,4115,83.5,89.6,60.5,82.6,86.0,88.2,84.9,48.1,27.7,18.0,49.2,52.8,57.9,55.0,24.7,9.6,7.3,23.1,29.2,30.8,29.3
唏,忑,忐,1302,84.5,86.8,74.7,86.6,84.4,84.7,85.4,51.3,28.9,29.9,64.6,55.5,55.3,53.0,28.0,6.1,8.0,40.2,39.1,30.3,29.8
唏,忑,忠,1264,81.9,91.1,64.9,78.6,83.0,82.5,83.7,47.5,27.6,22.8,52.9,56.0,50.4,55.7,25.6,8.1,7.0,34.3,30.0,28.9,30.3
唏,忑,忑,14491,86.6,88.5,72.8,85.9,85.3,88.4,87.8,51.9,33.2,25.8,52.7,51.5,57.3,58.8,25.9,6.3,10.8,25.9,25.0,29.5,33.0
屎,上,上,225124,83.6,85.8,76.7,81.6,83.8,84.0,84.3,54.4,31.3,33.2,55.3,57.7,59.0,59.0,33.6,11.0,12.9,34.6,36.1,38.2,38.3
屎,上,中,39506,85.4,86.2,77.6,82.6,83.7,86.4,86.6,54.3,31.2,30.4,55.1,55.6,58.5,58.1,29.7,7.7,9.4,30.1,30.0,33.7,33.2
屎,上,下,34735,85.4,82.6,75.5,83.1,84.8,86.8,86.7,54.0,28.1,29.5,52.5,54.4,58.6,58.6,28.7,6.8,8.9,27.2,28.9,32.4,32.6
屎,上,忐,26309,82.6,79.7,69.2,79.0,81.9,85.0,84.9,50.3,22.0,24.1,50.5,53.9,57.5,57.1,28.6,7.2,8.5,28.2,29.7,34.6,33.4
