等5+ZC<0+乙: n=1637, H2=77.6%, H3=61.9%, 文档=61.9% -> 匹配H3
等5+ZC<0+丙: n=2013, H2=64.3%, H3=49.3%, 文档=64.3% -> 匹配H2
等2+ZC<0+甲: n=4170, H2=63.0%, H3=49.0%, 文档=62.8% -> 匹配H2
等5+ZC>0+乙: n=19936, H2=61.5%, H3=46.8%, 文档=61.5% -> 匹配H2
等1+ZC>0+乙: n=50958, H2=59.5%, H3=47.8%, 文档=59.6% -> 匹配H2
等2+ZC>0+乙: n=80312, H2=58.7%, H3=46.6%, 文档=58.7% -> 匹配H2
等2+ZC<0+戊: n=4975, H2=59.4%, H3=46.5%, 文档=58.7% -> 匹配???
等1+ZC>0+甲: n=20436, H2=57.4%, H3=46.2%, 文档=57.4% -> 匹配H2
等2+ZC>0+甲: n=99089, H2=57.2%, H3=45.4%, 文档=57.2% -> 匹配H2
等1+ZC>0+己: n=22138, H2=56.6%, H3=43.4%, 文档=56.6% -> 匹配H2
