DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHR>0,下日DSHR>1,下日DSHR>2,均HR,中位HR,父级样本,收缩标记
银,忐,忠,13,90.2,88.3,76.6,83.7,53.7,36.1,,,35875,贝叶斯(k=100)
银,忐,忑,35,80.0,78.4,67.1,78.2,53.1,34.6,,,35875,贝叶斯(k=100)
银,忠,上,536,77.8,61.9,60.1,83.4,47.8,27.8,1.53,0.94,1402,
银,忠,中,351,53.6,41.0,25.4,77.2,44.7,24.5,1.4,0.82,1402,
银,忠,下,375,37.1,28.8,14.1,82.4,48.5,28.5,1.54,0.96,1402,
银,忠,忐,96,71.0,59.6,55.2,82.3,45.4,26.0,,,1402,贝叶斯(k=100)
银,忠,忠,12,60.0,48.1,40.4,80.7,47.3,26.7,,,1402,贝叶斯(k=100)
银,忠,忑,32,56.2,45.3,38.1,80.6,47.7,26.4,,,1402,贝叶斯(k=100)
银,忑,上,348,85.1,40.5,40.5,89.9,52.9,29.0,1.62,1.1,8162,
银,忑,中,195,69.7,30.3,27.2,83.6,57.4,25.6,1.54,1.2,8162,
银,忑,下,1664,28.8,13.8,10.2,83.1,48.3,24.9,1.47,0.92,8162,
银,忑,忐,429,81.6,39.6,39.6,85.5,52.4,26.1,1.58,1.05,8162,
银,忑,忠,416,56.7,18.5,18.5,85.8,45.7,27.9,1.59,0.9,8162,
银,忑,忑,5110,11.9,3.9,3.7,87.5,52.8,28.3,1.6,1.09,8162,
嘘,上,上,13720,92.7,89.9,83.9,84.4,54.5,34.0,2.0,1.17,20908,
嘘,上,中,1133,54.1,50.9,29.8,82.9,50.1,28.3,1.55,1.0,20908,
嘘,上,下,1225,29.1,27.2,17.6,83.2,54.5,28.9,1.58,1.14,20908,
嘘,上,忐,3702,83.4,74.7,74.1,81.6,50.7,30.1,1.71,1.02,20908,
嘘,上,忠,500,49.2,46.4,45.0,82.2,43.0,23.4,1.34,0.85,20908,
嘘,上,忑,628,34.2,32.2,27.1,82.6,51.4,29.5,1.65,1.05,20908,
嘘,中,上,99,64.2,36.8,36.1,75.0,48.5,25.6,,,3326,贝叶斯(k=100)
嘘,中,中,36,54.2,30.4,29.3,75.2,45.3,23.4,,,3326,贝叶斯(k=100)
嘘,中,下,383,32.9,16.2,11.0,71.5,40.2,20.4,1.19,0.68,3326,
嘘,中,忐,819,83.5,49.3,49.3,82.9,53.4,32.1,1.81,1.12,3326,
嘘,中,忠,650,55.5,35.7,35.7,79.7,47.4,26.6,1.53,0.9,3326,
嘘,中,忑,1339,36.2,21.8,19.8,77.4,46.4,23.5,1.39,0.89,3326,
嘘,下,上,116,77.6,31.0,31.0,82.8,53.4,32.8,1.63,1.05,100110,
嘘,下,中,32,21.7,4.6,4.5,83.5,55.6,30.3,,,100110,贝叶斯(k=100)
嘘,下,下,909,23.1,11.4,7.9,81.0,53.4,31.9,1.75,1.15,100110,
嘘,下,忐,2569,79.3,27.3,27.3,83.8,53.8,33.9,1.94,1.14,100110,
嘘,下,忠,12286,41.0,7.6,7.6,84.3,53.7,32.9,1.89,1.13,100110,
嘘,下,忑,84198,6.2,1.5,1.5,84.2,59.2,36.5,1.97,1.35,100110,
嘘,忐,上,140418,77.5,77.1,74.2,85.9,56.3,34.4,1.97,1.23,157312,
嘘,忐,中,10521,31.2,31.1,21.6,87.9,58.5,34.0,1.85,1.29,157312,
嘘,忐,下,2138,17.4,17.3,12.7,88.2,58.8,32.9,1.81,1.31,157312,
嘘,忐,忐,3840,77.0,73.9,73.8,85.2,57.6,34.2,2.0,1.25,157312,
嘘,忐,忠,138,32.6,32.6,32.6,78.3,42.8,30.4,1.81,0.82,157312,
嘘,忐,忑,257,23.7,23.3,22.6,85.2,58.4,35.4,1.76,1.33,157312,
嘘,忠,上,106168,35.4,34.1,33.9,86.8,56.1,32.9,1.87,1.21,141691,
嘘,忠,中,16759,13.5,13.2,11.1,87.8,56.6,33.2,1.82,1.22,141691,
嘘,忠,下,6777,8.6,8.5,7.0,86.9,56.2,32.8,1.81,1.2,141691,
嘘,忠,忐,10625,49.7,46.7,46.7,85.4,55.4,33.2,1.9,1.19,141691,
嘘,忠,忠,422,25.1,24.4,24.4,82.9,51.7,30.1,1.6,1.03,141691,
嘘,忠,忑,940,12.8,12.4,11.8,85.9,53.8,31.3,1.69,1.18,141691,
嘘,忑,上,45657,21.7,14.4,14.4,85.9,55.0,32.3,1.78,1.17,885888,
嘘,忑,中,10794,10.0,7.4,7.3,86.3,54.4,30.2,1.7,1.14,885888,
嘘,忑,下,34421,5.7,4.3,3.9,86.0,55.2,30.6,1.67,1.16,885888,
嘘,忑,忐,88045,26.2,13.7,13.7,84.8,54.4,32.9,1.84,1.16,885888,
嘘,忑,忠,137524,9.2,3.0,3.0,84.1,53.2,31.6,1.78,1.11,885888,
嘘,忑,忑,569447,1.8,0.8,0.8,86.1,57.4,33.6,1.82,1.26,885888,
唏,上,上,543133,98.3,97.2,80.8,84.4,56.1,34.8,2.0,1.22,832088,
唏,上,中,126984,90.5,87.5,30.0,87.2,58.2,33.2,1.82,1.27,832088,
唏,上,下,86920,75.4,62.8,16.4,87.1,57.2,30.9,1.71,1.21,832088,
唏,上,忐,30643,95.3,84.9,79.6,84.4,53.6,31.3,1.76,1.12,832088,
唏,上,忠,10147,91.0,72.7,63.4,83.4,53.2,29.9,1.66,1.1,832088,
唏,上,忑,34261,81.2,61.1,30.3,85.7,53.7,29.3,1.63,1.11,832088,
