市板	DXZC	护型	DXZA	当日均涨幅	当日涨率	样本数
Qit	>0	己	all	2.7049	84.6	106469
Qit	>0	戊	<=0	-1.4692	18.8	9253
Qit	>0	戊	>0	1.5131	75.2	23031
Qit	>0	甲	all	1.1427	60.5	1046353
Qst	<=0	丁	all	-0.9371	36.1	171005
Qst	<=0	丙	all	-2.3407	13.8	19441
Qst	<=0	乙	<=0	-1.2637	21.3	4690
Qst	<=0	乙	>0	1.3153	76.7	2325
Qst	<=0	己	all	1.6878	74.5	33583
Qst	<=0	戊	<=0	-1.1134	29.4	136169
Qst	<=0	戊	>0	1.3150	70.1	59131
Qst	<=0	甲	all	0.0757	46.5	16739
Qst	>0	丁	all	0.1682	53.0	10714
Qst	>0	丙	all	-1.7570	23.3	31270
Qst	>0	乙	<=0	-1.4696	25.6	51856
Qst	>0	乙	>0	1.4371	65.9	122951
Qst	>0	己	all	2.6803	84.4	15287
Qst	>0	戊	<=0	-1.4191	18.0	1390
Qst	>0	戊	>0	1.5247	74.6	3416
Qst	>0	甲	all	1.1422	60.1	153516
