市板	DXZC	护型	DXZA	次日均高	次高>3%	样本数
Qit	>0	戊	>0	2.1322	24.9	23009
Qit	>0	甲	all	2.3792	27.4	1046211
Qst	<=0	丁	all	1.8754	21.6	170961
Qst	<=0	丙	all	1.8255	20.0	19439
Qst	<=0	乙	<=0	1.7958	19.3	4690
Qst	<=0	乙	>0	1.9933	22.0	2324
Qst	<=0	己	all	2.0102	23.6	33577
Qst	<=0	戊	<=0	1.7874	20.0	136154
Qst	<=0	戊	>0	1.9056	22.0	59115
Qst	<=0	甲	all	1.8872	21.2	16738
Qst	>0	丁	all	2.0693	25.1	10709
Qst	>0	丙	all	2.1276	24.4	31262
Qst	>0	乙	<=0	2.1557	25.6	51843
Qst	>0	乙	>0	2.5140	31.4	122892
Qst	>0	己	all	2.2638	27.8	15278
Qst	>0	戊	<=0	1.8773	21.9	1390
Qst	>0	戊	>0	2.0828	26.5	3415
Qst	>0	甲	all	2.3922	29.1	153490
